,date,name,value
555,2021-09-02,Canterbury-Bankstown (A),241
556,2021-09-02,Cumberland (A),245
557,2021-09-02,Fairfield (C),112
558,2021-09-02,Georges River (A),30
559,2021-09-02,Liverpool (C),116
560,2021-09-02,Parramatta (C),45
561,2021-09-03,Blacktown (C),192
562,2021-09-03,Campbelltown (C) (NSW),55
563,2021-09-03,Canterbury-Bankstown (A),292
564,2021-09-03,Cumberland (A),248
565,2021-09-03,Fairfield (C),114
566,2021-09-03,Georges River (A),26
567,2021-09-03,Liverpool (C),129
568,2021-09-03,Parramatta (C),47
569,2021-09-04,Blacktown (C),149
570,2021-09-04,Campbelltown (C) (NSW),44
571,2021-09-04,Canterbury-Bankstown (A),218
572,2021-09-04,Cumberland (A),189
573,2021-09-04,Fairfield (C),63
574,2021-09-04,Georges River (A),21
575,2021-09-04,Liverpool (C),124
576,2021-09-04,Parramatta (C),53
577,2021-09-05,Blacktown (C),112
578,2021-09-05,Campbelltown (C) (NSW),43
579,2021-09-05,Canterbury-Bankstown (A),276
580,2021-09-05,Cumberland (A),180
581,2021-09-05,Fairfield (C),69
582,2021-09-05,Georges River (A),21
583,2021-09-05,Liverpool (C),101
584,2021-09-05,Parramatta (C),31
585,2021-09-06,Blacktown (C),117
586,2021-09-06,Campbelltown (C) (NSW),32
587,2021-09-06,Canterbury-Bankstown (A),263
588,2021-09-06,Cumberland (A),216
589,2021-09-06,Fairfield (C),59
590,2021-09-06,Georges River (A),23
591,2021-09-06,Liverpool (C),105
592,2021-09-06,Parramatta (C),54
593,2021-09-07,Blacktown (C),155
594,2021-09-07,Campbelltown (C) (NSW),35
595,2021-09-07,Canterbury-Bankstown (A),265
596,2021-09-07,Cumberland (A),204
597,2021-09-07,Fairfield (C),89
598,2021-09-07,Georges River (A),26
599,2021-09-07,Liverpool (C),140
600,2021-09-07,Parramatta (C),53
601,2021-09-08,Blacktown (C),128
602,2021-09-08,Campbelltown (C) (NSW),35
603,2021-09-08,Canterbury-Bankstown (A),304
604,2021-09-08,Cumberland (A),195
605,2021-09-08,Fairfield (C),67
606,2021-09-08,Georges River (A),26
607,2021-09-08,Liverpool (C),144
608,2021-09-08,Parramatta (C),51
609,2021-09-09,Blacktown (C),151
610,2021-09-09,Campbelltown (C) (NSW),58
611,2021-09-09,Canterbury-Bankstown (A),242
612,2021-09-09,Cumberland (A),221
613,2021-09-09,Fairfield (C),110
614,2021-09-09,Georges River (A),26
615,2021-09-09,Liverpool (C),152
616,2021-09-09,Parramatta (C),39
617,2021-09-10,Blacktown (C),160
618,2021-09-10,Campbelltown (C) (NSW),47
619,2021-09-10,Canterbury-Bankstown (A),269
620,2021-09-10,Cumberland (A),176
621,2021-09-10,Fairfield (C),77
622,2021-09-10,Georges River (A),39
623,2021-09-10,Liverpool (C),134
624,2021-09-10,Parramatta (C),56
625,2021-09-11,Blacktown (C),150
626,2021-09-11,Campbelltown (C) (NSW),45
627,2021-09-11,Canterbury-Bankstown (A),192
628,2021-09-11,Cumberland (A),147
629,2021-09-11,Fairfield (C),59
630,2021-09-11,Georges River (A),31
631,2021-09-11,Liverpool (C),128
632,2021-09-11,Parramatta (C),25
633,2021-09-12,Blacktown (C),118
634,2021-09-12,Campbelltown (C) (NSW),47
635,2021-09-12,Canterbury-Bankstown (A),236
636,2021-09-12,Cumberland (A),123
637,2021-09-12,Fairfield (C),62
638,2021-09-12,Georges River (A),23
639,2021-09-12,Liverpool (C),133
640,2021-09-12,Parramatta (C),38
641,2021-09-13,Blacktown (C),153
642,2021-09-13,Campbelltown (C) (NSW),40
643,2021-09-13,Canterbury-Bankstown (A),236
644,2021-09-13,Cumberland (A),144
645,2021-09-13,Fairfield (C),61
646,2021-09-13,Georges River (A),47
647,2021-09-13,Liverpool (C),143
648,2021-09-13,Parramatta (C),25
649,2021-09-14,Blacktown (C),119
650,2021-09-14,Campbelltown (C) (NSW),44
651,2021-09-14,Canterbury-Bankstown (A),230
652,2021-09-14,Cumberland (A),110
653,2021-09-14,Fairfield (C),49
654,2021-09-14,Georges River (A),30
655,2021-09-14,Liverpool (C),105
656,2021-09-14,Parramatta (C),42
657,2021-09-15,Blacktown (C),140
658,2021-09-15,Campbelltown (C) (NSW),41
